1;Места;2772;074409;47857;40
2;Обидим;2776;074408;53059;40
3;Кремен;2771;074407;39614;40
4;Банско;2770;07443;02676;40
5;Гостун;2773;074409;17381;40
6;Осеново;2774;074409;54136;40
7;Филипово;2775;074409;76090;40
8;Добринище;2777;07447;21498;40
9;Бабяк;2784;074404;02107;40
10;Орцево;2785;074404;53998;40
11;Краище;2781;074405;39270;40
12;Белица;2780;07444;03504;40
13;Лютово;2791;074404;44762;40
14;Върхари;2786;NULL;41068;40
15;Кузьово;2788;074404;40453;40
16;Палатик;2788;NULL;59330;40
17;Черешово;2787;074404;80649;40
18;Дагоново;2779;074406;20064;40
19;Гълъбово;2789;074404;15638;40
20;Златарица;2783;NULL;14521;40
21;Горно Краище;2781;074405;77596;40
22;Обел;2738;NULL;53031;40
23;Падеш;2747;07414;55107;40
24;Лисия;2743;073;43863;40
25;Лешко;2749;07414;43520;40
26;Рилци;2710;073;62699;40
27;Селище;2744;07413;66055;40
28;Бучино;2742;NULL;07168;40
29;Церово;2722;073;78464;40
30;Изгрев;2711;073;00134;40
31;Мощанец;2729;073;49179;40
32;Делвино;2728;073;20540;40
33;Еленово;2726;073;27231;40
34;Логодаж;2737;07418;68792;40
35;Габрово;2747;07414;14204;40
36;Дъбрава;2723;073;24367;40
37;Клисура;2738;07418;37263;40
38;Зелендол;2745;07415;30702;40
39;Дренково;2739;07418;23652;40
40;Дебочица;2748;07414;20328;40
41;Бистрица;2724;NULL;04217;40
42;Марулево;2725;NULL;47370;40
43;Бело поле;2709;NULL;03664;40
44;Покровник;2708;073;57159;40
45;Българчево;2746;07415;07377;40
46;Благоевград;2700;073;04279;40
47;Горно Хърсово;2727;073;17004;40
48;Средна;2918;NULL;68391;40
49;Буково;2915;07532;07003;40
50;Борово;2904;0751;05606;40
51;Баничан;2905;07525;02600;40
52;Лъжница;2971;07520;44416;40
53;Корница;2970;07520;38666;40
54;Делчево;2917;NULL;20585;40
55;Брезница;2972;07529;06306;40
56;Мосомище;2920;0751;49432;40
57;Драгостин;2916;NULL;23460;40
58;Добротино;2919;0751;21680;40
59;Господинци;2914;07525;17347;40
60;Гоце Делчев;2900;0751;17395;40
61;Гърмен;2960;07523;18366;40
62;Балдево;2948;07523;02381;40
63;Горно Дряново;2963;07527;16763;40
64;Лещен;2962;07527;43606;40
65;Влахи;2841;NULL;11569;40
66;Ореше;2943;07531;53727;40
67;Дебрен;2961;07523;20331;40
68;Осиково;2965;07533;54184;40
69;Рибново;2967;07526;62640;40
70;Дъбница;2940;07522;24267;40
71;Марчево;2949;07523;47408;40
72;Крушево;2945;07531;40138;40
73;Хвостяне;2942;07522;77222;40
74;Огняново;2947;07523;53326;40
75;Скребатно;2964;07523;66874;40
76;Ковачевица;2969;07527;37472;40
77;Долно Дряново;2944;07531;22616;40
78;Будилци;2844;NULL;06834;40
79;Горна Брезница;2842;074328;16136;40
80;Долна Градешница;2843;07433;22068;40
81;Ощава;2847;074337;54537;40
82;Езерец;2846;NULL;27098;40
83;Кресна;2840;07433;14492;40
84;Сливница;2844;07433;67369;40
85;Ново село;2847;NULL;52163;40
86;Стара Кресна;2845;074337;39699;40
87;Гега;2882;074204;14581;40
88;Ключ;2899;074202;37349;40
89;Яково;2816;07424;87312;40
90;Волно;2886;NULL;12036;40
91;Скрът;2879;07428;66901;40
92;Кулата;2868;07425;40539;40
93;Драгуш;2875;07424;23488;40
94;Ръждак;2856;0745;63542;40
95;Долене;2887;074204;21885;40
96;Камена;2878;07423;35688;40
97;Рупите;2863;074203;49312;40
98;Митино;2857;0745;48458;40
99;Рибник;2864;07424;62623;40
100;Занога;2875;NULL;30315;40
101;Петрич;2850;0745;56126;40
102;Гюргево;2875;NULL;18472;40
103;Мендово;2893;07428;47799;40
104;Вишлене;2895;07427;11358;40
105;Иваново;2875;NULL;32086;40
106;Дреново;2876;07424;23697;40
107;Михнево;2862;07424;48578;40
108;Габрене;2898;07428;14091;40
109;Зойчене;2882;NULL;31317;40
110;Горчево;2882;NULL;17302;40
111;Беласица;2881;07423;03294;40
112;Коларово;2880;07423;37989;40
113;Капатово;2872;074201;36083;40
114;Първомай;2890;07427;59077;40
115;Кладенци;2895;NULL;37143;40
116;Чуричени;2891;074206;81791;40
117;Чурилово;2885;NULL;81788;40
